,customer_email,current_year,last_year
0,yixtbjnxce@gmail.com,133.86,201.32
1,gwqjyelgct@gmail.com,164.1,14.62
2,hxshgpdxtr@gmail.com,178.1,217.35
3,gipqsrvngd@gmail.com,172.9,156.06
4,cdvwonzpwu@gmail.com,102.46,140.43
5,akwxtbjuki@gmail.com,8.78,113.27
6,tcxbzksocq@gmail.com,126.54,162.06
7,qdsyhpyblz@gmail.com,8.09,136.8
8,nfyvvsbdpy@gmail.com,209.39,223.2
9,eqlshhjueb@gmail.com,219.13,246.34
10,wbnvcpwrev@gmail.com,56.14,160.85
11,yguqryjtfu@gmail.com,124.97,187.95
12,zjqbsezvzq@gmail.com,237.75,159.46
13,lmfauxtblr@gmail.com,205.59,137.07
14,hxmbtjigco@gmail.com,100.66,45.93
15,enkabpvbte@gmail.com,54.89,141.28
16,ujnbprfiho@gmail.com,97.18,74.11
17,unqdgbfhvk@gmail.com,233.94,167.89
18,xyepkoqbfk@gmail.com,38.74,192.89
19,lsdwcvhehg@gmail.com,149.35,160.87
20,udqprkpgbv@gmail.com,147.28,161.86
21,fqbxcocvxw@gmail.com,4.39,219.44
22,kvzlcdphmx@gmail.com,144.74,210.41
23,hintjfrhht@gmail.com,28.45,216.46
24,ovfpcrfdeo@gmail.com,159.09,202.86
25,qgkpsjzome@gmail.com,44.1,224.98
26,vvqujrajxr@gmail.com,22.01,233.94
27,tmszhbybvl@gmail.com,115.21,17.84
28,yrmoakgbii@gmail.com,43.04,240.6
29,ygodtgdalf@gmail.com,161.08,68.72
30,dpaqajhzae@gmail.com,115.62,170.18
31,bivdpsmwbe@gmail.com,115.24,43.2
32,ekgnaeesbm@gmail.com,9.06,73.53
33,rpgakocjud@gmail.com,143.09,134.52
34,kubhfpaabk@gmail.com,90.73,45.17
35,fmzpqoxgua@gmail.com,135.92,220.41
36,nsdaadrtpt@gmail.com,53.62,236.5
37,onfwpseaej@gmail.com,225.02,145.62
38,ktlhtvoisq@gmail.com,60.53,208.18
39,sfcwrhttli@gmail.com,224.47,199.35
40,afkqatgaga@gmail.com,137.41,239.04
41,uxqpycxjmz@gmail.com,133.37,122.02
42,xfbbujzceq@gmail.com,71.4,122.42
43,rfrszmpqhw@gmail.com,228.89,176.7
44,zgosbsutju@gmail.com,82.44,246.06
45,qbehnpvruw@gmail.com,14.98,51.35
46,hqjolakkzw@gmail.com,173.83,208.16
47,kditqjvdil@gmail.com,184.27,42.94
48,mzyflicirl@gmail.com,217.6,203.47
49,qlaohjlzpc@gmail.com,98.51,3.92
50,hhgdzcflve@gmail.com,137.2,32.65
51,axcepfzylm@gmail.com,62.14,41.39
52,fucxeeijrh@gmail.com,207.72,29.1
53,ksbyoolxqa@gmail.com,215.61,13.68
54,qgetoacjny@gmail.com,87.83,200.65
55,bvodjsknex@gmail.com,117.46,108.54
56,gvrkuuahhu@gmail.com,39.94,50.93
57,ouwvqkjdsu@gmail.com,66.53,241.66
58,rmgmmhogne@gmail.com,132.66,234.24
59,mhwkochcyc@gmail.com,212.91,57.07
