,customer_email,revenue_growth
0,baiikostmd@gmail.com,-28.129999999999995
1, lfeafnigbu@gmail.com,-19.93
2, tqxsjlgjpi@gmail.com,-74.21
3,hxshgpdxtr@gmail.com,36.75999999999999
4, zvhsssvgor@gmail.com,22.290000000000003
5,jjafctqaqe@gmail.com,50.53
6,gipqsrvngd@gmail.com,33.35000000000001
7,iqdogiwbsn@gmail.com,-9.030000000000001
8,drnjwgseuf@gmail.com,-150.26999999999998
9, egkydtstfz@gmail.com,-158.53
10,akwxtbjuki@gmail.com,-133.51999999999998
11,hejtkusufw@gmail.com,-72.77000000000001
12, uojxdezlzq@gmail.com,13.709999999999994
13,yxbpcskdtb@gmail.com,80.88
14,qkmpkdqtsk@gmail.com,-4.34
15,zvzvttswub@gmail.com,106.23
16,tcxbzksocq@gmail.com,82.34
17, escsjxzsld@gmail.com,48.25
18,qfvwluheek@gmail.com,168.49
19,napnxvprik@gmail.com,-22.24000000000001
20,pwemaozkbp@gmail.com,-55.38999999999999
21,ranozjnsfs@gmail.com,-17.650000000000002
22, llagbfmssh@gmail.com,-8.509999999999991
23, whfryiocom@gmail.com,-17.269999999999996
24, zmgrijncbx@gmail.com,6.410000000000004
25,ffwcjqadde@gmail.com,40.78
26, hhedltzpiy@gmail.com,156.83999999999997
27,yxtpdgymxn@gmail.com,-38.330000000000005
28, xmhkljbtab@gmail.com,-20.39
29,eprqsjrzbp@gmail.com,179.79000000000002
30,mksvdgznqb@gmail.com,-112.75
31,nfyvvsbdpy@gmail.com,35.54999999999998
32, dfvqiiqtpe@gmail.com,6.350000000000001
33, nrvfmiyiab@gmail.com,-48.5
34, hsragfohyc@gmail.com,-6.420000000000016
35,xjooyonjxs@gmail.com,-120.83
36, sygkhvqpkz@gmail.com,162.28
37, dweqywmaxt@gmail.com,181.03
38,omjtrchrnm@gmail.com,19.689999999999998
39,kvnneunemd@gmail.com,-93.66999999999999
40,kgsjjbbrrm@gmail.com,62.30999999999999
41,vwqtszhahr@gmail.com,-107.85999999999999
42, kxelvqdwxk@gmail.com,-58.349999999999994
43,volpmlokqq@gmail.com,193.7
44,xyepkoqbfk@gmail.com,67.51999999999998
45, njrvkzexym@gmail.com,-122.93999999999998
46,ewjxpqyuyo@gmail.com,75.34
47, omtpmhbila@gmail.com,165.99
48, mvcqkzhgvg@gmail.com,-22.55000000000001
49, jfailapcjl@gmail.com,-9.639999999999986
50,eqoscidxqg@gmail.com,172.81
51,sbwvksumzd@gmail.com,43.86
52,ugogkxpwsi@gmail.com,-69.23000000000002
53,rgfdusapma@gmail.com,116.02999999999999
54,rfwbhxikcz@gmail.com,-117.22000000000001
55,lfoqplkdio@gmail.com,-66.63999999999999
56,hintjfrhht@gmail.com,132.05
57,xjyadtyvig@gmail.com,-64.57
58,owasxpydfe@gmail.com,-97.62
59, yxtfklcmnx@gmail.com,-24.849999999999994
60,qyxndrgnds@gmail.com,-13.870000000000005
61, jptblbtnwq@gmail.com,162.95
62,cewcldvijo@gmail.com,-216.35999999999999
63,majtkofktn@gmail.com,45.47999999999999
64, zuleahmmda@gmail.com,102.67
65, bpcgqjsoey@gmail.com,-47.079999999999984
66, mwccmvhdgs@gmail.com,-19.429999999999993
67,pmdujsxcag@gmail.com,-23.75
68,auhbfmoxju@gmail.com,-43.3
69,vvqujrajxr@gmail.com,21.28
70,hevvorkxdt@gmail.com,-95.18
71,tmszhbybvl@gmail.com,-102.83
72, zjoxvbbflo@gmail.com,-18.95
73,dukuonpzmt@gmail.com,51.480000000000004
74, vmlcpypdup@gmail.com,-4.639999999999986
75,jfsmkwfydr@gmail.com,-2.740000000000009
76, sdwaivfcim@gmail.com,-221.14
77,leadrokqlx@gmail.com,103.25999999999999
78,lbmszvuprn@gmail.com,59.640000000000015
79, etdaiqnoal@gmail.com,-105.47
80,lagixzgmdu@gmail.com,-5.949999999999989
81, qarmwdgtts@gmail.com,-80.44
82, qvdjcugcts@gmail.com,-96.11000000000001
83,zdknswuhne@gmail.com,57.78
84, vfivdjwcue@gmail.com,170.20000000000002
85,dpaqajhzae@gmail.com,32.71000000000001
86,spzrcwwqjz@gmail.com,61.46000000000001
87,bgmtyapdmw@gmail.com,117.23999999999998
88, inrcigfrnt@gmail.com,-148.35
89, uvwiunboat@gmail.com,-2.140000000000015
90,olreyrxqbr@gmail.com,149.4
91,kyhodeasex@gmail.com,-39.61999999999999
92,vxtmojzwdp@gmail.com,21.650000000000006
93, ajnhokjikk@gmail.com,-84.21
94,nrfbgmziuj@gmail.com,-68.87
95, ubkjcvfodm@gmail.com,5.059999999999974
96, gxzocepdbm@gmail.com,207.51
97,rzqsjbhlfu@gmail.com,5.509999999999998
98, tlbnqwkpmr@gmail.com,108.72000000000001
99, ncntqyqroc@gmail.com,45.279999999999994
100,lofuejwxoz@gmail.com,8.009999999999998
101,tvuaivgdpb@gmail.com,45.730000000000004
102, zldwejibbe@gmail.com,-3.539999999999999
103,nsdaadrtpt@gmail.com,18.94999999999999
104,gzhqfangdz@gmail.com,116.57
105,ksydwkmtiv@gmail.com,-19.189999999999998
106, kjksakniqf@gmail.com,-92.30999999999999
107, vdxofhttvw@gmail.com,4.27000000000001
