,customer_email,revenue_growth
0,yixtbjnxce@gmail.com,-67.45999999999998
1,gwqjyelgct@gmail.com,149.48
2,hxshgpdxtr@gmail.com,-39.25
3,gipqsrvngd@gmail.com,16.840000000000003
4,cdvwonzpwu@gmail.com,-37.97000000000001
5,akwxtbjuki@gmail.com,-104.49
6,tcxbzksocq@gmail.com,-35.519999999999996
7,qdsyhpyblz@gmail.com,-128.71
8,nfyvvsbdpy@gmail.com,-13.810000000000002
9,eqlshhjueb@gmail.com,-27.210000000000008
10,wbnvcpwrev@gmail.com,-104.71
11,yguqryjtfu@gmail.com,-62.97999999999999
12,zjqbsezvzq@gmail.com,78.28999999999999
13,lmfauxtblr@gmail.com,68.52000000000001
14,hxmbtjigco@gmail.com,54.73
15,enkabpvbte@gmail.com,-86.39
16,ujnbprfiho@gmail.com,23.070000000000007
17,unqdgbfhvk@gmail.com,66.05000000000001
18,xyepkoqbfk@gmail.com,-154.14999999999998
19,lsdwcvhehg@gmail.com,-11.52000000000001
20,udqprkpgbv@gmail.com,-14.580000000000013
21,fqbxcocvxw@gmail.com,-215.05
22,kvzlcdphmx@gmail.com,-65.66999999999999
23,hintjfrhht@gmail.com,-188.01000000000002
24,ovfpcrfdeo@gmail.com,-43.77000000000001
25,qgkpsjzome@gmail.com,-180.88
26,vvqujrajxr@gmail.com,-211.93
27,tmszhbybvl@gmail.com,97.36999999999999
28,yrmoakgbii@gmail.com,-197.56
29,ygodtgdalf@gmail.com,92.36000000000001
30,dpaqajhzae@gmail.com,-54.56
31,bivdpsmwbe@gmail.com,72.03999999999999
32,ekgnaeesbm@gmail.com,-64.47
33,rpgakocjud@gmail.com,8.569999999999993
34,kubhfpaabk@gmail.com,45.56
35,fmzpqoxgua@gmail.com,-84.49000000000001
36,nsdaadrtpt@gmail.com,-182.88
37,onfwpseaej@gmail.com,79.4
38,ktlhtvoisq@gmail.com,-147.65
39,sfcwrhttli@gmail.com,25.120000000000005
40,afkqatgaga@gmail.com,-101.63
41,uxqpycxjmz@gmail.com,11.350000000000009
42,xfbbujzceq@gmail.com,-51.019999999999996
43,rfrszmpqhw@gmail.com,52.19
44,zgosbsutju@gmail.com,-163.62
45,qbehnpvruw@gmail.com,-36.370000000000005
46,hqjolakkzw@gmail.com,-34.329999999999984
47,kditqjvdil@gmail.com,141.33
48,mzyflicirl@gmail.com,14.129999999999995
49,qlaohjlzpc@gmail.com,94.59
50,hhgdzcflve@gmail.com,104.54999999999998
51,axcepfzylm@gmail.com,20.75
52,fucxeeijrh@gmail.com,178.62
53,ksbyoolxqa@gmail.com,201.93
54,qgetoacjny@gmail.com,-112.82000000000001
55,bvodjsknex@gmail.com,8.919999999999987
56,gvrkuuahhu@gmail.com,-10.990000000000002
57,ouwvqkjdsu@gmail.com,-175.13
58,rmgmmhogne@gmail.com,-101.58000000000001
59,mhwkochcyc@gmail.com,155.84
60,xfyxqubwdj@gmail.com,65.23
61,yrhpyuazth@gmail.com,-109.23000000000002
